NCTId,BriefTitle,Condition,EligibilityCriteria,Location,StudyType,OverallStatus,HasResults
NCT06364592,Electroacupuncture for Dysmenorrhea Secondary to Adenomyosis,"['Dysmenorrhea', 'Adenomyosis', 'Electroacupuncture']","Inclusion Criteria:

* Meeting the diagnosis criteria of dysmenorrhea secondary to adenomyosis.
* Female patients aged between 18 and 50.
* Dysmenorrhea lasting for 3 consecutive menstrual cycles or more.
* At least three consecutive menstrual cycles with an interval of 24 to 38 days, differing by less than 7 days, and menstrual periods lasting 2 to 8 days before screening.
* At least 2 days of worst pain score ≥4 on Numerical Rating Scale during the screening period.
* Having not used medications, other than rescue medicine, or therapies for dysmenorrhea secondary to adenomyosis for at least 1 month before randomization, and consenting not to use throughout the process of the research.
* Volunteering to participate the trial and signing written informed consent.

Exclusion Criteria:

* Diagnosed with Endometriosis or having a history of endometriosis-related surgery
* Currently taking hormonal medications, including: a.use of GnRH agonists within 6 months before the screening period; b. use of progestins or danazol and other long-acting hormones within 3 months before the screening period; c. use of oral contraceptive-like short-acting hormones within one month before the screening period;
* Having clinically significant gynecologic condition such as clinically significant endometrial pathology, persistent complex ovarian cyst larger than 3 cm or simple ovarian cyst larger than 5 cm, or single fibroid 4 cm or larger or more than 4 fibroids measuring at least 2 cm or symptomatic submucosal fibroid of any size.
* having an IUD.
* HB \< 90G/L.
* Having any other chronic pain syndrome that required chronic analgesic or other chronic therapy.
* Having a current history of undiagnosed abnormal genital bleeding.
* Malignant tumors (including the reproductive system and other systems).
* Combined with severe diseases in the cardiac, respiratory, renal, liver, and hematopoietic systems, psychiatric disorder and/or cognitive disorders.
* Pregnant, breast feeding, planning a pregnancy within the next 7 months.",['China'],INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT05597644,Role of Uterine Artery Embolization in Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

* Symptomatizing women (pelvic pain and/or bleeding) between ages 30-50 who are not keen on hysterectomy.

Exclusion Criteria:

* Women who desire further child bearing (not completed their family yet).
* Impaired coagulation profile.
* Hypersensitivity to intravenous contrast media.
* Decompensated congestive heart failure.
* Hypertensive crisis.
* Stroke or CVA.
* Renal failure.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT02914704,Treatment of Benign Uterine Disorders Using High Intensity Focused Ultrasound (MR-HIFU),"['Uterine Fibroids', 'Adenomyosis']","Inclusion Criteria:

* BMI \< 35
* Premenopausal
* Uterine size \<20 gw
* Willingness to participate to the research
* Uterine fibroids with typical symptoms
* Maximum of 4 treated fibroids
* Dominant fibroid \>2.5cm
* \>50% of the fibroid is treatable

Exclusion criteria

* Unspecified pelvic tumours or ovarian masses, PID
* Major corrective surgery to uterus (simple myomectomy excluded)
* Major uterine anomalies
* Unability to calculate the volume of uterine fibroids
* Marked uterine calcification
* Marked scarring of the lower abdomen
* Suspicion of malignancy
* Marked general health problem contraindicating MRI
* Claustrophobia",['Finland'],INTERVENTIONAL,RECRUITING,False
NCT05418140,Adenomyosis and Pregnancy Outcomes in Women Undergoing Assisted Reproductive Technology Treatment,"['Adenomyosis', 'Infertility', 'ART', 'Pregnancy Loss', 'Miscarriage']","Inclusion Criteria:

* Age \>18 years and ≤42 years: Maternal age is an independent factor affecting the live birth rate in ART cycles. In 2019, a steep drop in the live birth rate has been reported in the United Kingdom in the latest Human Fertilisation and Embryology Authority (HFEA) data from the 32% per embryo transferred for patients under 35 years, compared to below 5% for patients aged 43+ when using their own eggs (HFEA, 2021). Hence, this is the age cut-off used in the study.
* Undergoing IVF/ICSI cycle.

Exclusion Criteria:

* Coexisting fibroid uterus. The sensitivity of TVUS for diagnosis of adenomyosis gradually decreases to as low as 33% when fibroids are present (Chapron et al, 2020; Dueholm et al, 2001) and hence this is a reasonable exclusion criterion due to risk of confounding.
* Endometriosis: Endometrioma confirmed on USS or known laparoscopic diagnosis of endometriosis (with histological confirmation). This will not fully exclude endometriosis in all the participants included in the study and inclusion of these potential missed cases of endometriosis will be one of the limiting factors of the study.
* Untreated hydrosalpinx
* Uterine malformation
* Previous myomectomy
* Previous surgery for adenomyosis
* Inconclusive USS

September 2022: Amendments to the protocol: Some of the methodological aspects of the AdAPT-ART study have been revisited to ensure timely delivery of the study to a full sample size and to make the recruitment smooth. These amendments have been approved by the local ethics committee.

Amendment to the eligibility criteria: Inclusion:

1. Age: 18-45 years (Age will be adjusted for)
2. Endometriosis: Subgroup analysis for isolated adenomyosis and those with coexisting endometriosis will be performed

Rationale: Adenomyosis with coexisting endometriosis is common and is an important group to look at in terms of outcome of pregnancy loss.","['England, United Kingdom', 'England, United Kingdom', 'England, United Kingdom', 'England, United Kingdom', 'England, United Kingdom', 'England, United Kingdom', 'United Kingdom', 'United Kingdom', 'United Kingdom']",OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT06719934,Ttt of Adenomyosis,['Adenomyosis'],"Inclusion Criteria:- Age Group: 30-50 years

* Women with adenomyosis
* With or without small fibroids
* Suffering from heavy menstrual bleeding, dysmenorrhea, and/or cycle- independent pain and bulk-related symptoms.

Exclusion Criteria:

* - Presence of a malignancy or pelvic infection.
* An on-going pregnancy or a desire to conceive in the future.
* Absolute contraindication for angiography (renal impairment).
* Chronic debilitating diseases.",['Egypt'],INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06117410,Assessing Ultrasonographic Severity of Adenomyosis,"['Adenomyosis', 'Ultrasound']","Inclusion Criteria:

* at least one direct MUSA feature (lines and buds, hyperechogenic islands, cysts)
* premenopausal, older than18 years

Exclusion Criteria:

* hormonal medication
* other reason for gynaecological symptoms, more evident than adenomyosis, e.g. deep infiltrating endometriosis, dominant uterine fibroids (\>5cm, \>5 myoma, intracavitary myoma), cervical or endometrial cancer.",['Netherlands'],OBSERVATIONAL,RECRUITING,False
NCT06765512,Artificial Intelligence-Based Machine Learning to Diagnose and Classify Adenomyosis from Ultrasound Scans: a Multicentre Model Development Study,['Adenomyosis of Uterus'],"Inclusion Criteria:

* Participants: Women attending CARE Fertility centre for ultrasound between February 2022 to February 2024 for any indication and are diagnosed with normal uterus and adenomyosis on ultrasound on screening of images.
* Input data: Good quality and conclusive 2D and/ or 3D images of normal uterus and adenomyotic uterus where the ultrasound characteristics of adenomyosis are clearly visible.

Exclusion Criteria:

* Participants: Women with co-existing single or multiple intramural fibroids and endometrial cavity abnormalities.
* Input data: Inconclusive ultrasound on assessment by the second reviewer, poor-quality images where the ultrasound characteristics of adenomyosis are unclear and images which cannot be classified into one of the four categories will be excluded.","['England, United Kingdom']",OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT06211569,Study of the Prevalence of Endometriosis and Adenomyosis,['Elective Fertility Preservation'],"Inclusion Criteria:

* Woman aged between 29 and 37
* Consultant for non-medical fertility preservation in the Reproductive Medicine Unit Port Royal, Cochin
* Informed and not opposed to this research
* Affiliated to a social security scheme

Exclusion Criteria:

* Pregnant women
* Refusing to take part in the study
* Under court protection, curatorship or guardianship
* Women with a known malformation of the genital tract","['Ile De France, France']",OBSERVATIONAL,RECRUITING,False
NCT06751264,Evaluation of the Efficacy and Safety of Microwave Ablation of Uterine Adenomyosis Under Improved Ultrasound Guidance,['Adenomyosis of Uterus'],"Inclusion Criteria:

1. UFs or AM diagnosed by pathology and ultrasound；
2. Relevant symptoms such asabnormal uterine bleeding, secondary anemia, progressive dysmenorrhea and enlargement of the uterus；
3. Voluntarily undergo MWA；
4. a confirmed available safe transabdominal puncture path；

Exclusion Criteria:

1. Pregnancy or malignancy；
2. Severe and uncorrectable coagulation disorders；
3. Severe cardiac, liver, and renal dysfunction；
4. Anesthesia allergy.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT04356664,Benefit of GnRH Agonist Before Frozen Embryo Transfer in Patients With Endometriosis and/or Adenomyosis,"['Endometriosis', 'Adenomyosis', 'Infertility, Female']","Inclusion Criteria:

* Women aged 18 to 36 years (women ≥18 years to \<36 years) with endometriosis and / or adenomyosis
* Having benefited from In vitro fertilisation /intracytoplasmic micro-injection with freeze all and for whom the frozen embryon transfer of a blastocyst is planned
* A normal uterine cavity
* An MRI showing endometriosis and / or adenomyosis during the inclusion visit
* Having signed a consent form
* Being affiliated to a Health Insurance Plan.

Exclusion Criteria:

* Patient aged \<18 years and ≥ 36 years
* BMI\> 35
* History of implantation failures (≥ 2)
* Endometrial alterations: synechiae, polyps, myomas, hyperplasia, hematometra
* known hydrosalpinx uni or bilateral
* MRI showing no endometriosis or adenomyosis
* Hypersensitivity to GnRH, GnRH analogues, or any of the excipients of Decapeptyl 3 mg
* Known hypersensitivity to estradiol
* Known hypersensitivity to progesterone
* Known hypersensitivity to acetylsalicylic acid or other nonsteroidal anti-inflammatory drugs
* Known hypersensitivity to folic acid
* Known hypersensitivity to cefixime or an antibiotic in the cephalosporin group
* Known hypersensitivity to levofloxacin or any other quinolone
* History of tendinopathies related to the administration of fluoroquinolones
* Epilepsy
* Hypersensitivity to contrast agents for MRI
* Known or suspected breast cancer or history of breast cancer
* Known or suspected genital tract cancer or history of genital cancer
* known or suspected estrogen-dependent malignant neoplasms
* Undiagnosed genital haemorrhage
* Untreated endometrial hyperplasia
* History of idiopathic venous thrombo-embolic accident or evolving venous thrombo-embolic event (deep vein thrombosis, pulmonary embolism)
* Recent or evolving arterial thromboembolic stroke (eg angina, myocardial infarction)
* Acute liver disease or history of liver disease, until hepatic tests are normalized
* Severe renal insufficiency
* Severe, uncontrolled heart failure
* Evolutionary gastroduodenal ulcer
* History of asthma caused by the administration of salicylates or substances of similar activity, especially nonsteroidal anti-inflammatory drugs
* GnRH Agonist Decapeptyl administered within 6 months prior to transfer
* To be deprived of liberty or under guardianship
* Pregnancy and breast feeding.",['France'],INTERVENTIONAL,RECRUITING,False
NCT04126824,Effect of Addition of Steroids on Duration of Analgesia,"['Uterine Fibroids', 'Adenomyosis']","Inclusion Criteria:

* females
* aged between 30 and 60 years
* diagnosed with symptomatic uterine fibroids and/or adenomyosis and scheduled to undergo UAE procedure

Exclusion Criteria:

* Contraindications to UAE
* SHNB is deemed unsafe for the patient
* Allergies to local anesthetic or steroid agent
* History of inflammatory bowel disease or ulcerative colitis
* Uncorrectable abnormal coagulation profile
* Diabetes mellitus","['California, United States', 'North Carolina, United States']",INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT04481321,Clinical and Molecular Study of Endometriosis and Adenomyosis,"['Endometriosis', 'Adenomyosis']","Inclusion Criteria:

* Women of age between - 18 and 42 years old.
* In-service care for one of the pelvic pain and/or infertility, or for a pelvic mass.
* Having a radiological diagnosis made by a referral practitioner and/or operated in the department

Exclusion Criteria:

* HIV-positive women, HBV and HCV
* During pregnancy
* Having a cancer diagnosis
* Refusing to sign a consent.",['France'],OBSERVATIONAL,RECRUITING,False
NCT05937490,Adenomyosis and ART,['Adenomyosis'],"Inclusion Criteria:

* Adenomyosis of the uterus defined with at least one of the following features: (1) heterogeneous myometrium; (2) hypoechoic striation in the myometrium; (3) myometrial anechoic lacunae or cysts; (4) asymmetrical myometrial thickening of the uterine walls.
* Couples who are undergoing a cycle of IVF/ICSI, where a cycle is defined as egg collection following ovarian stimulation.
* First or second IVF or ICSI attempt.
* Absence of severe premature ovarian insufficiency defined by antral follicle count \&lt; 8 and AMH (anti-mullerian hormone) \&lt; 1ng/ml
* Meet the criteria from the Italian law to be included in a ART program.
* The female partner is ≥18 and \&lt; 42 years of age.
* The female partner has a BMI \&lt;30.
* Both partners are willing and able to provide written informed consent.

Exclusion Criteria:

* Concurrent and/or recent involvement in other research that is likely to interfere with the intervention within the previous 3 months of study enrolment.
* Other potential causes of implantation failure: in situ leiomyoma, hydrosalpinx, malformed uterus (unicornis, bicornis, septate, duplex), antiphospholipid syndrome
* Uterine fibroids (untreated FIGO, International Federation of Gynecology and Obstetrics, Type 0-I-II and type III-IV fibroids \&gt; 3 cm)
* Use of GnRH analogues within previous 3 months.
* Extremely severe male factor infertility (sperm count \&lt; 1x 10 6 /ml, use o surgically retrieved spermatozoa)
* Positive plasma viral load for human immunodeficiency virus(HIV), hepatitis C virus (HCV) or hepatitis B virus (HBV) for one (or both) in the couple during the year before inclusion
* Couples unable to give fully informed consent to the study.",['Italy'],INTERVENTIONAL,RECRUITING,False
NCT06445179,ENDOmetriosis Robotic Assisted Surgery,['Endometriosis'],"Inclusion Criteria:

* ≥ 18 years of age.
* Diagnosed adenomyosis, either internal or external (magnetic resonance imaging) per the Enzian and dPEI classifications.
* Diagnosed deep infiltrating endometriosis per the Enzian and dPEI classifications, without the involvement of the digestive tract.
* Failure of first- and second-line medical treatment.
* Eligibility for total hysterectomy with complete removal of endometriosis lesions.
* Participants covered by entitled to social security.
* All participants must provide written informed consent before undergoing the surgical procedure.

Exclusion Criteria:

* Digestive tract involvement.
* Adenomyosis only.
* Contraindications to surgery.
* Participants who are under guardianship, curatorship, or deprivation of liberty.","['France', 'France']",INTERVENTIONAL,RECRUITING,False
NCT06223464,Evaluation of the Relationship Between Adenomyosis and Elastographic Properties of the Cervix,['Adenomyosis'],"Inclusion Criteria:

* Female patients between 18-45 years of age who volunteered and consented to the reproductive period study
* Patients diagnosed with adenomyosis using MUSA criteria

Exclusion Criteria:

* Pregnancy status
* Pelvic/Cervical infection, pathology and anomalies
* History of cervical surgery
* Diagnosis and findings of systemic disease
* Chronic drug use
* Advanced maternal obesity preventing measurement","['Yenimahalle, Turkey']",OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT05130190,Radiofrequency Ablation of Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

* planning to undergo an abdominal, laparoscopic, or robotic-assisted hysterectomy due to benign conditions
* uterus \< 16 weeks gestational size if undergoing a laparoscopic or robotic procedure (no size limit for patients planning to undergo a transabdominal hysterectomy)
* at least one area of focal or diffuse adenomyosis or adenomyomas that is/are contralateral to any fibroids as determined by MRI
* able to provide informed consent
* suitable candidates for surgery (have passed a standard pre-operative health assessment)
* English speaking

Exclusion Criteria:

* require emergent hysterectomy or vaginal hysterectomy
* have a uterus \> 16 weeks gestational size if undergoing a laparoscopic or robotic procedure (no size limit for patients planning to undergo a transabdominal hysterectomy)
* have fibroids in the proximity of the target adenomyosis (same side, similar location)
* are not appropriate surgical candidates as determined during pre-operative health assessment
* are unable or unwilling to undergo a hysterectomy
* are pregnant or lactating
* are under the age of 18 years
* have active pelvic inflammatory disease
* have a history of gynecologic malignancy within the past 3 years
* are unable to give informed consent
* have an implantable uterine or fallopian tube device for contraception
* are not English speaking","['Texas, United States']",INTERVENTIONAL,RECRUITING,False
NCT06123975,Adenomyosis Patients With Infertility and Immunological Factors,['Adenomyosis'],"Inclusion Criteria:

* Patients were diagnosed as adenomyosis by transvaginal ultrasound scans (The criteria for sonographic diagnosis of adenomyosis are with 2 or more of the following: heterogeneous myometrial texture with the presence of globular asymmetric uterus, thickening of the anterior and posterior myometrial wall, irregular cystic areas within the myometrium);
* 18≤ age ≤ 40 years old at first outpatient visit in our Reproductive Center;
* with regular menstrual cycle.

Exclusion Criteria:

* Patients with intrauterine adhesion, uterine malformation, submucosal leiomyoma, or ≥ 5.0 cm in diameter leiomyoma;
* hydrosalpinx and systemic diseases;
* patients with other endocrine severe diseases, immune diseases, tumors and abnormal chromosomes in either partner.",['China'],OBSERVATIONAL,RECRUITING,False
NCT06572852,Next-Generation Endometriosis Diagnostics Through Comprehensive Multi-Dimensional Analysis,"['Endometriosis', 'Adenomyosis']","Inclusion Criteria:

Participants eligible for cases with endometriosis and adenomyosis, must meet the following criteria:

* Able to give informed consent for participation in the study.
* European descent.
* Confirmed diagnosis of both endometriosis and adenomyosis through ultrasound screening.
* Listed for assisted reproductive treatment, specifically within their first or second IVF cycle.

Participants eligible for cases with only endometriosis must meet the following criteria:

* Able to give informed consent for participation in the study.
* European descent.
* Confirmed diagnosis of endometriosis with no ultrasound evidence of adenomyosis.
* Enrolled in an assisted reproductive treatment cycle involving embryo thawing.

Participants eligible for cases with only adenomyosis must meet the following criteria:

* Able to give informed consent for participation in the study.
* European descent.
* Confirmed diagnosis of adenomyosis with no ultrasound evidence of endometriosis.
* Enrolled in an assisted reproductive treatment cycle involving embryo thawing.

Participants eligible as controls must meet the following criteria:

* Able to give informed consent for participation in the study.
* European descent.
* Undergone ultrasound screenings that have excluded the presence of endometriosis or adenomyosis.
* Listed for assisted reproductive treatment, specifically within their first or second IVF cycle.
* Presence of reduced ovarian reserve or non-severe male factor infertility.

Exclusion Criteria:

* Patients unable or unwilling to sign the informed consent
* Individuals who exhibit the presence of sactosalpinx or other uterine pathologies such as fibroids, polyps, or irregular endometrial thickening will be excluded from participation in this study.

These exclusion criteria are applicable across all groups to ensure the accuracy and reliability of the study's findings related to endometriosis and adenomyosis.","['Michigan, Italy', 'Italy']",OBSERVATIONAL,RECRUITING,False
NCT04862000,Observational Study of Patients Suffering From Endometriosis and Adenomyosis,"['Endometriosis', 'Adenomyosis']","Inclusion Criteria:

* with endometriosis or adenomyosis confirmed by ultrasound or MRI

Exclusion Criteria:

* refuse to participate in the study, less than 18 years old, menopausal, illiterate or mentally incapable",['Hong Kong'],OBSERVATIONAL,RECRUITING,False
NCT06913075,FET in Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

Diagnosis of adenomyosis confirmed via transvaginal ultrasound as per MUSA criteria History of infertility requiring frozen embryo transfer (FET). Availability of at least one good-quality frozen embryo for transfer

Exclusion Criteria:

BMI ≥ 30 kg/m2 Presence of endocrine disorders; (uncontrolled diabetes mellitus, / hyperprolactinemia, thyroid dysfunction, Congenital adrenal hyperplasia, Cushing syndrome, or polycystic ovary syndrome Previous major uterine surgery Gestational carrier Fertility preservation","['Rajasthan, India']",INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06164015,3D Ultrasound to Assess in Recurrent Miscarriage,['Recurrent Miscarriage'],"Inclusion Criteria:

1. Women between the age group of 18-40 years
2. Women who have had 2 or more pregnancy losses before 24 weeks of gestation - Study group.
3. Women who can provide documented informed consent
4. Women with proven fertility with at least one child - Control group

Exclusion Criteria:

1. Women with previous history of miscarriage/ extreme preterm delivery (before 28 weeks of gestation) will be excluded from the Control group.",,OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT06718088,Risk Factors Associated With the Progression of Adenomyosis,['Adenomyosis'],"Inclusion Criteria:

* Patients aged between 18 and 55 years;
* Presence of at least two direct and indirect signs according to the MUSA classification
* Obtaining informed consent

Exclusion Criteria:

* Patients undergoing hysterectomy;
* Virgo patients;
* Patients reporting intolerance to transvaginal ultrasound;
* Gynaecological oncology;
* Recent pregnancy or childbirth (within 6 months)",['Italy'],OBSERVATIONAL,RECRUITING,False
